iter	Passed	Remaining
0	4	13679
1	9	14364
2	15	15208
3	20	15415
4	25	15293
5	31	15595
6	37	15865
7	42	15854
8	48	15966
9	53	16117
10	59	16137
11	65	16261
12	71	16391
13	77	16426
14	83	16520
15	88	16544
16	94	16596
17	100	16709
18	107	16853
19	114	17006
20	120	17064
21	126	17100
22	132	17134
23	137	17099
24	144	17136
25	149	17150
26	155	17100
27	161	17119
28	167	17124
29	172	17107
30	179	17153
31	185	17169
32	190	17159
33	196	17165
34	202	17164
35	208	17193
36	214	17205
37	220	17193
38	226	17198
39	232	17194
40	238	17195
41	244	17215
42	250	17226
43	256	17212
44	262	17230
45	268	17257
46	272	17149
47	278	17143
48	284	17135
49	290	17146
50	296	17145
51	301	17116
52	307	17115
53	313	17124
54	319	17123
55	325	17123
56	331	17104
57	337	17100
58	342	17097
59	348	17075
60	354	17094
61	360	17096
62	366	17073
63	372	17075
64	378	17085
65	384	17084
66	390	17086
67	396	17092
68	401	17070
69	407	17068
70	413	17074
71	419	17063
72	425	17070
73	431	17059
74	436	17041
75	442	17039
76	448	17040
77	455	17046
78	461	17067
79	467	17072
80	474	17084
81	480	17089
82	486	17096
83	493	17116
84	499	17137
85	506	17172
86	513	17181
87	519	17205
88	526	17233
89	532	17232
90	539	17240
91	546	17258
92	551	17242
93	557	17236
94	563	17231
95	569	17221
96	575	17223
97	581	17211
98	587	17201
99	593	17203
100	598	17191
101	604	17173
102	610	17170
103	616	17162
104	622	17156
105	628	17154
106	634	17156
107	640	17159
108	646	17156
109	652	17145
110	658	17137
111	664	17141
112	670	17132
113	676	17127
114	682	17121
115	688	17115
116	694	17110
117	700	17102
118	706	17098
119	712	17092
120	718	17084
121	723	17071
122	729	17062
123	735	17057
124	741	17046
125	747	17044
126	753	17042
127	760	17053
128	766	17062
129	772	17062
130	778	17058
131	785	17057
132	790	17047
133	796	17039
134	802	17027
135	808	17024
136	814	17017
137	820	17008
138	825	16995
139	831	16995
140	837	16979
141	843	16970
142	848	16961
143	854	16946
144	860	16940
145	866	16931
146	871	16918
147	877	16912
148	884	16922
149	891	16930
150	898	16946
151	904	16954
152	911	16964
153	918	16977
154	925	16986
155	932	16997
156	939	17010
157	945	17015
158	952	17025
159	959	17033
160	966	17042
161	973	17048
162	980	17064
163	987	17067
164	993	17072
165	999	17070
166	1005	17064
167	1012	17066
168	1019	17069
169	1025	17067
170	1033	17102
171	1040	17111
172	1048	17128
173	1054	17129
174	1060	17127
175	1067	17126
176	1072	17111
177	1078	17104
178	1084	17094
179	1090	17083
180	1096	17077
181	1102	17073
182	1108	17060
183	1114	17054
184	1120	17046
185	1125	17035
186	1132	17029
187	1138	17027
188	1144	17025
189	1151	17023
190	1157	17015
191	1162	17004
192	1169	17002
193	1174	16990
194	1180	16984
195	1187	16982
196	1193	16974
197	1199	16970
198	1204	16960
